title,author,isbn,edition,publisher,school_class,subject,section,notes,Unnamed: 9
Complete Economics for Cambridge IGCSE & O level,Moynihan & Titley,9780198409-700,2023,Oxford Press,S5FR,S5EN Economics,FR,,
Pas de livre ,,,2023,,S5FR,Physique,FR,,
Pas de livre ,,,2023,,S5FR,Chimie ,FR,,
FranÃ§ais 2de,Xavier Damas,978-2218749810,2023,,S5FR,FranÃ§ais L1,FR,,
Face,Benjamin Zephaniah,978-1408894989,2023,HarperCollins Publishers,S5FR,L3 English,FR,,
Private Peaceful,Michael Morpurgo,978-0439636537,2023,Scholastic,S5FR,L3 English,FR,,
English File Intermediate (students have from last year),Latham Koenig,978-0194037419,2023,Oxford Uni Press,S5FR,L3 English,FR,,
"La Divina Commedia, Dante Alighieri","N. Mineo, D. Cuccia, L. Melluso",978-8880208525,2023,Palumbo,S5FR,ITA L1 (NON FORMATA),FR,,
,,,2023,,S5FR,BYOD (Bring your own device),FR,,
English file Intermediate Plus (students have),Latham-Koenig,978-0194038911,2023,Oxford University Press,S5FR,L2 English,FR,,
An Inspector Calls - paper copy not digital please,J.B Priestley ,978-0141185354,2023,Penguin Modern Classics,S5FR,L2 English,FR,,
Es werden diverse elektronische Bauteile benÃ¶tigt. Diese werden im Unterricht angeschafft. Pro Semester ist mit einem Betrag von bis zu 30â‚¬ zu rechnen.,,,2023,,S5FR,ICT,FR,,
Letteratura letterature. Guida storica,G.Armellini/A. Colombo,978-8808338778,2023,Zanichelli,S6DE,ITA L1,DE,,
"Affrescoitaliano. Corso di lingua di italiano per stranieri, A2(volume)",M. Trifone â€“ A. Filippone â€“ A. Sgaglione,978-8800203326,2023, Le monnier ,S6DE,ITA L4 ,DE,,
"Mensch und Politik Sekundarstufe II, Politisches System",,,2023,westermann 978-3-14-118362-7,S6DE,Soziologie/Politik,DE,,
"Uwe Timm, Johannisnacht",,978-3423125925,2023,,S6DE,DE L1 ,DE,,
"Friedrich Schiller, Maria Stuart, Version Einfach Deutsch",,978-3140223720,2023,,S6DE,DE L1 ,DE,,
Aspekte Junior C1 (Kursbuch),,978-3-12-605258-0,2023,,S6DE,DE L2 ,DE,,
Aspekte Junior C1 (Ãœbungsbuch),,978-3-12-605259-7,2023,Klett Verlag,S6DE,DE L2 ,DE,,
Grammatik Aktiv B2-C1 (WeiterfÃ¼hrung),,978-3-06-02148-2,2023,Cornelsen,S6DE,DE L2 ,DE,,
Theodor Fontane: Unterm Birnbaum (Version Einfach Deutsch),,978-3140227086,2023,SchÃ¶ningh Verlag,S6DE,DE L2 ,DE,,
